Business Architecture  ·  Connecting strategy to execution through structured design,,,,,
Overall weight in GC EA score: 25%,,,,,
#,Q#,Assessment Question,Score (0–10),Maturity Label,Notes / Evidence
,Q16,"Is there a documented business case that articulates the expected value, outcomes, and measurable benefits of the proposed solution?",,—,Enter observations or evidence…
,Q17,How well do the proposed solution capabilities map to the GC Business Capability Model and existing enterprise services?,,—,Enter observations or evidence…
,Q18,"Have value streams been fully mapped, showing how business capabilities deliver outcomes to clients and citizens?",,—,Enter observations or evidence…
,Q19,"Is the solution design driven by defined user personas, journeys, and evidence-based user research?",,—,Enter observations or evidence…
,Q20,"How clearly are the target service levels, response times, and quality benchmarks defined for the proposed solution?",,—,Enter observations or evidence…
,Q21,"Has the solution's criticality to GC program delivery been assessed, and does the architecture reflect that criticality?",,—,Enter observations or evidence…
,Q22,Is there a funding model and sourcing strategy that is sustainable across the full lifecycle of the solution?,,—,Enter observations or evidence…
,Q23,"How well is the talent strategy defined, including required skills, existing capacity, training pipeline, and long-term retention?",,—,Enter observations or evidence…
,Q24,"Is a demand forecast available, and does the solution design account for projected growth and usage variability?",,—,Enter observations or evidence…
,Q25,How well is the solution integrated within the broader GC enterprise ecosystem and aligned with whole-of-government priorities?,,—,Enter observations or evidence…
,Q26,Is the solution designed to maximize reuse of existing GC shared services and platforms before building new capabilities?,,—,Enter observations or evidence…
,Q27,"How transparent is the solution design — is it documented, accessible, and understandable to those who rely on it?",,—,Enter observations or evidence…
Section Average — Defining the Business Solution,,,,,
,,,,,
  Demonstrated Engagement  —  Section weight: 10%,,,,,
S3,Q28,"Have user personas, stories, and journeys been mapped and validated through direct engagement with actual users and stakeholders?",,—,Enter observations or evidence…
,Q29,"Are there formal, repeatable mechanisms to capture client, user, and stakeholder needs on a continuous basis?",,—,Enter observations or evidence…
,Q30,"How mature are feedback loops between the delivery team and end users, including Communities of Practice and regular reviews?",,—,Enter observations or evidence…
,Q31,"Are all roles, accountabilities, and decision rights across the solution ecosystem clearly documented in a RACI or equivalent model?",,—,Enter observations or evidence…
,Q32,"Is solution documentation, interactive guidance, and self-service assistance available and actively maintained for all user types?",,—,Enter observations or evidence…
,Q33,"How transparent is the operational status of the solution, including an offering roadmap and historical event schedule?",,—,Enter observations or evidence…
,Q34,"Are performance metrics (NPS, CSAT, CES, usage rates, drop-off rates) defined, measured, and reported back to stakeholders?",,—,Enter observations or evidence…
,Q35,"Does the solution support multi-channel delivery patterns (web, chat, phone, in-person) that reflect real user demand?",,—,Enter observations or evidence…
,Q36,"How mature are personalization, predictive analytics, or AI-assisted capabilities within the solution offering?",,—,Enter observations or evidence…
Section Average — Demonstrated Engagement,,,,,
,,,,,
"  Calculated, Measured & Transparent Performance & Value  —  Section weight: 10%",,,,,
S4,Q37,"Are Service Level Objectives (SLOs) and Service Level Agreements (SLAs) formally defined, monitored, and reported?",,—,Enter observations or evidence…
,Q38,"Is there end-to-end instrumentation of delivery processes, enabling real-time performance monitoring and visualization?",,—,Enter observations or evidence…
,Q39,"How well are costs, prices, and unit economics tracked and published, enabling informed investment decisions?",,—,Enter observations or evidence…
,Q40,"Are client satisfaction scores (CSAT, NPS, or equivalent) captured systematically and acted upon?",,—,Enter observations or evidence…
,Q41,"How are quality and error rates measured, tracked, and used to drive continuous improvement?",,—,Enter observations or evidence…
,Q42,"Are response times, total transaction times, and execution time variance measured and within defined thresholds?",,—,Enter observations or evidence…
,Q43,Is trend analysis performed regularly on key metrics to anticipate performance changes and drive proactive action?,,—,Enter observations or evidence…
,Q44,Are periodic evaluations of continuing business need performed to assess whether the solution still justifies its cost?,,—,Enter observations or evidence…
"Section Average — Calculated, Measured & Transparent Performance & Value",,,,,
,,,,,
  Operational Readiness  —  Section weight: 10%,,,,,
S5,Q45,"How well-defined is the delivery pipeline, including deployment cadence, automation, rollback procedures, and success rates?",,—,Enter observations or evidence…
,Q46,"Are skills requirements, staffing levels, and a training and improvement pipeline in place to sustain operations?",,—,Enter observations or evidence…
,Q47,"Is there an established and confirmed funding strategy, including lifecycle funding beyond the initial build phase?",,—,Enter observations or evidence…
,Q48,"How mature and tested is the incident management, business continuity, and disaster recovery planning for this solution?",,—,Enter observations or evidence…
,Q49,"Is the infrastructure and technology acquisition strategy defined, including procurement pathways and lead times?",,—,Enter observations or evidence…
,Q50,Has a formal threat and risk assessment (including sovereignty and security classification) been completed and reviewed?,,—,Enter observations or evidence…
,Q51,"How deep and well-prioritized is the feature and requirements backlog, and does it reflect validated stakeholder needs?",,—,Enter observations or evidence…
,Q52,"Are there operational runbooks, monitoring dashboards, and on-call processes in place to support production operations?",,—,Enter observations or evidence…
Section Average — Operational Readiness,,,,,
,,,,,
  Governance & Strategy  —  Section weight: 20%,,,,,
S6,Q53,Is there a clearly defined governance model with accountable decision-makers for the solution's direction and performance?,,—,Enter observations or evidence…
,Q54,How well does the solution align with the GC Digital Operations Strategic Plan and departmental enterprise strategy?,,—,Enter observations or evidence…
,Q55,"Is there a published roadmap with near, medium, and long-term milestones that is communicated to stakeholders?",,—,Enter observations or evidence…
,Q56,"How mature is the change management process, including impact assessment, approval workflows, and communication plans?",,—,Enter observations or evidence…
,Q57,"Are compliance requirements (legal, regulatory, policy, accessibility, bilingualism) formally tracked and verified?",,—,Enter observations or evidence…
,Q58,"Is there a formal risk register maintained for the solution, with assigned owners and documented mitigation strategies?",,—,Enter observations or evidence…
,Q59,"How well is vendor and third-party relationship governance defined, including performance monitoring and exit strategies?",,—,Enter observations or evidence…
,Q60,Is there a documented and approved data governance model aligned with the solution's information and privacy requirements?,,—,Enter observations or evidence…
,Q61,How well does the solution contribute to GC-wide shared service consolidation and enterprise architecture objectives?,,—,Enter observations or evidence…
Section Average — Governance & Strategy,,,,,
,,,,,
OVERALL BUSINESS ARCHITECTURE SCORE,,,,,
